Player,Age,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
Noel Acciari,31.0,C,77,14,9,23,-4,21,1.5,14,0,0,2,7,0,2,102,13.7,1102,859,81,244,337,289,53.8
Calen Addison,22.0,D,62,3,26,29,-17,22,3.2,3,0,0,1,8,18,0,77,3.9,999,967,38,19,0,0,0.0
Sebastian Aho,25.0,F,75,36,31,67,8,42,8.2,26,7,3,9,22,8,1,218,16.5,1462,1170,21,59,531,503,51.4
Nikita Alexandrov,22.0,C,28,3,4,7,0,8,0.5,3,0,0,0,4,0,0,28,10.7,275,589,13,28,53,97,35.3
Alexander Alexeyev,23.0,D,32,0,5,5,-2,4,0.9,0,0,0,0,5,0,0,28,0.0,527,987,48,33,0,0,0.0
Wade Allison,25.0,RW,60,9,6,15,-3,36,1.0,9,0,0,2,6,0,0,89,10.1,774,774,62,190,1,5,16.7
Michael Amadio,26.0,C,67,16,11,27,2,12,2.8,15,1,0,2,10,1,0,99,16.2,818,733,27,56,31,32,49.2
Nils Åman,22.0,C,68,4,12,16,-12,18,-0.1,4,0,0,1,10,0,2,50,8.0,864,762,41,44,181,293,38.2
Joey Anderson,24.0,RW,38,6,3,9,-8,0,0.5,6,0,0,1,3,0,0,41,14.6,445,702,17,36,0,2,0.0
Josh Anderson,28.0,RW,69,21,11,32,-8,72,2.8,16,4,1,5,11,0,0,164,12.8,1170,1018,49,139,19,25,43.2
Michael Anderson,23.0,D,77,5,15,20,20,40,5.2,4,1,0,1,14,0,1,90,5.6,1668,1300,129,162,0,0,0.0
Jaret Anderson-Dolan,23.0,C,46,7,5,12,-11,2,0.6,7,0,0,2,4,1,0,54,13.0,488,637,29,61,23,16,59.0
Rasmus Andersson,26.0,D,79,11,38,49,5,26,8.0,9,1,1,4,17,20,1,159,6.9,1903,1445,136,50,0,0,0.0
Mason Appleton,27.0,C,41,5,11,16,2,8,1.1,4,1,0,0,11,0,0,71,7.0,657,961,11,47,2,8,20.0
Josh Archibald,30.0,RW,62,6,6,12,6,43,0.9,6,0,0,0,6,0,0,71,8.5,619,599,28,195,1,3,25.0
Joel Armia,29.0,RW,43,7,7,14,-7,22,0.7,6,0,1,0,6,1,0,69,10.1,643,897,25,37,3,6,33.3
Viktor Arvidsson,29.0,LW,77,26,33,59,-4,24,5.7,15,10,1,2,18,15,0,228,11.4,1316,1026,48,25,27,40,40.3
Rasmus Asplund,25.0,F,46,2,6,8,-6,4,-0.1,1,0,1,0,6,0,0,54,3.7,504,658,11,23,22,33,40.0
Zach Aston-Reese,28.0,C,77,10,4,14,-6,25,0.7,10,0,0,2,4,0,0,89,11.2,841,656,43,163,7,7,50.0
Andreas Athanasiou,28.0,C,81,20,20,40,-29,34,3.1,17,3,0,4,16,4,0,175,11.4,1296,960,44,43,81,93,46.6
Nicolas Aubé-Kubel,26.0,RW,53,4,8,12,1,40,0.7,4,0,0,0,8,0,0,67,6.0,602,681,9,117,6,8,42.9
Mikael Backlund,33.0,C,82,19,37,56,24,36,5.6,13,5,1,2,27,7,3,260,7.3,1489,1090,31,97,705,681,50.9
Nicklas Bäckström,35.0,C,39,7,14,21,-25,14,0.8,1,6,0,0,9,5,0,59,11.9,658,1013,23,24,259,255,50.4
Kevin Bahl,22.0,D,42,2,6,8,4,35,1.6,2,0,0,0,6,0,0,27,7.4,589,841,38,64,0,0,0.0
Josh Bailey,33.0,C,64,8,17,25,3,2,1.9,8,0,0,2,14,3,0,72,11.1,969,908,31,11,40,56,41.7
Alexander Barabanov,28.0,F,68,15,32,47,-30,20,3.0,12,3,0,2,22,10,0,120,12.5,1228,1083,37,40,1,2,33.3
Ivan Barbashev,27.0,C,82,16,29,45,1,42,3.5,14,2,0,2,25,3,1,126,12.7,1374,1005,46,182,55,89,38.2
Aleksander Barkov,27.0,C,68,23,55,78,10,8,7.3,14,8,1,6,32,22,1,208,11.1,1443,1273,48,52,731,601,54.9
Tyson Barrie,31.0,D,85,13,42,55,-7,36,7.0,9,4,0,1,14,27,1,163,8.0,1681,1187,90,55,0,0,0.0
Justin Barron,21.0,D,39,4,11,15,-2,20,2.2,2,1,1,1,10,1,0,40,10.0,636,978,38,49,0,0,0.0
Morgan Barron,24.0,C,70,8,13,21,4,31,1.5,7,0,1,2,10,1,2,112,7.1,928,795,44,118,13,16,44.8
Mathew Barzal,25.0,C,58,14,37,51,5,22,4.9,10,4,0,5,22,15,0,139,10.1,1086,1123,34,25,104,188,35.6
Nathan Bastian,25.0,RW,43,6,9,15,7,31,1.3,6,0,0,1,9,0,0,62,9.7,535,746,38,99,11,26,29.7
Drake Batherson,24.0,C,82,22,40,62,-35,33,4.7,8,14,0,2,25,15,0,249,8.8,1526,1116,35,115,13,25,34.2
Gavin Bayreuther,28.0,D,51,2,12,14,-18,23,1.2,2,0,0,0,11,1,0,61,3.3,813,957,71,54,0,0,0.0
Ethan Bear,25.0,D,61,3,13,16,6,25,2.9,3,0,0,1,12,0,1,75,4.0,1130,1112,82,39,0,0,0.0
Nathan Beaulieu,30.0,D,52,0,4,4,-23,39,-0.5,0,0,0,0,4,0,0,33,0.0,792,914,80,49,0,0,0.0
Anthony Beauvillier,25.0,LW,82,18,22,40,-10,24,3.0,15,3,0,5,21,1,0,176,10.2,1334,976,30,78,3,10,23.1
Pierre-Édouard Bellemare,37.0,LW,73,4,9,13,-9,34,-0.1,4,0,0,0,7,0,2,51,7.8,824,677,48,67,322,294,52.3
Kieffer Bellows,24.0,LW,28,3,0,3,-8,6,-0.1,3,0,0,1,0,0,0,32,9.4,271,581,10,48,3,15,16.7
Alex Belzile,31.0,F,31,6,8,14,0,13,1.3,6,0,0,0,8,0,0,40,15.0,376,728,22,27,96,109,46.8
Emil Bemström,23.0,C,55,7,15,22,-11,6,1.4,4,3,0,0,12,3,0,95,7.4,666,727,21,16,7,10,41.2
Matthew Beniers,20.0,C,80,24,33,57,14,2,5.8,20,4,0,4,26,6,1,148,16.2,1367,1026,48,79,409,560,42.2
Jamie Benn,33.0,LW,82,33,45,78,23,34,9.5,18,13,2,4,27,17,1,190,17.4,1294,947,38,97,520,345,60.1
Sam Bennett,26.0,C,63,16,24,40,5,54,3.5,12,4,0,3,19,5,0,193,8.3,1097,1044,35,150,425,479,47.0
Matt Benning,28.0,D,77,1,23,24,-18,26,2.7,1,0,0,0,21,1,1,58,1.7,1523,1187,125,102,0,0,0.0
Simon Benoit,24.0,D,78,3,7,10,-29,60,0.7,3,0,0,0,7,0,0,82,3.7,1509,1161,128,216,0,0,0.0
Patrice Bergeron,37.0,C,78,27,31,58,35,22,7.0,16,9,2,7,21,10,0,249,10.8,1357,1044,54,66,1043,663,61.1
Jonatan Berggren,22.0,RW,67,15,13,28,-14,16,2.2,10,5,0,0,9,4,0,98,15.3,902,808,28,20,3,3,50.0
Tim Berni,22.0,D,59,1,2,3,-26,34,-0.3,1,0,0,0,2,0,0,58,1.7,1001,1018,74,122,0,0,0.0
Tyler Bertuzzi,27.0,LW,50,8,22,30,-8,29,2.0,4,4,0,0,16,6,0,107,7.5,824,989,22,54,4,13,23.5
Marcus Björk,25.0,D,33,3,8,11,-9,42,1.4,2,1,0,0,3,5,0,34,8.8,599,1089,47,45,0,0,0.0
Oliver Bjorkstrand,27.0,RW,81,20,25,45,-1,16,3.9,15,5,0,1,20,5,0,198,10.1,1266,937,38,63,18,41,30.5
Nick Bjugstad,30.0,C,78,17,12,29,13,34,2.6,15,1,1,1,12,0,0,145,11.7,1264,972,44,168,530,578,47.8
Colin Blackwell,29.0,C,53,2,8,10,-16,6,-0.2,2,0,0,0,7,0,1,53,3.8,625,708,17,49,18,18,50.0
Sammy Blais,26.0,LW,71,9,16,25,4,30,2.0,9,0,0,1,15,1,0,70,12.9,838,708,35,238,2,5,28.6
Nick Blankenburg,24.0,D,36,4,10,14,-16,16,1.4,4,0,0,1,6,4,0,50,8.0,690,1150,49,61,0,0,0.0
Teddy Blueger,28.0,C,63,4,12,16,-9,30,0.2,4,0,0,1,11,0,1,85,4.7,813,775,47,71,299,276,52.0
Brock Boeser,25.0,RW,74,18,37,55,-20,24,3.9,12,6,0,3,27,10,0,178,10.1,1276,1034,32,49,22,35,38.6
Zach Bogosian,32.0,D,46,1,4,5,-4,42,0.8,1,0,0,0,4,0,0,54,1.9,689,899,50,114,1,0,100.0
Matt Boldy,21.0,LW,81,31,32,63,1,39,6.9,23,8,0,5,14,18,0,255,12.2,1498,1110,26,65,77,64,54.6
Nick Bonino,34.0,C,62,10,9,19,-5,28,1.1,10,0,0,0,8,1,0,91,11.0,987,955,79,19,217,233,48.2
Adam Boqvist,22.0,D,46,5,19,24,-12,8,3.0,5,0,0,1,10,9,0,68,7.4,857,1118,47,23,0,0,0.0
Jesper Boqvist,24.0,C,70,10,11,21,8,2,1.8,10,0,0,2,11,0,0,67,14.9,812,696,20,50,66,133,33.2
William Borgen,26.0,D,82,3,17,20,11,47,3.6,3,0,0,1,17,0,0,76,3.9,1342,982,89,203,0,0,0.0
Robert Bortuzzo,33.0,D,43,2,3,5,9,29,1.6,2,0,0,0,3,0,0,30,6.7,540,754,49,64,0,0,0.0
Evan Bouchard,23.0,D,82,8,32,40,6,28,5.4,6,2,0,2,20,11,1,156,5.1,1518,1111,77,95,0,0,0.0
Travis Boyd,29.0,C,82,15,19,34,-32,26,1.1,13,2,0,3,11,8,0,94,16.0,1355,992,59,39,502,654,43.4
Erik Brännström,23.0,D,74,2,16,18,5,38,3.6,2,0,0,0,15,1,0,74,2.7,1192,967,103,49,0,0,0.0
Derick Brassard,35.0,C,62,13,10,23,3,30,2.5,8,5,0,4,5,5,0,92,14.1,755,731,10,90,143,143,50.0
Jesper Bratt,24.0,W,82,32,41,73,14,6,8.1,24,8,0,3,27,14,0,212,15.1,1424,1042,23,24,0,0,0.0
Justin Braun,35.0,D,51,0,2,2,-1,19,1.0,0,0,0,0,2,0,0,42,0.0,764,899,49,47,0,0,0.0
Philip Broberg,21.0,D,46,1,7,8,6,2,1.4,1,0,0,0,7,0,0,32,3.1,580,756,35,28,0,0,0.0
T.J. Brodie,32.0,D,58,2,12,14,10,14,3.3,2,0,0,0,11,0,1,58,3.4,1231,1273,111,47,0,0,0.0
Jonas Brodin,29.0,D,60,3,11,14,13,30,4.4,3,0,0,0,9,0,2,90,3.3,1372,1372,130,50,0,0,0.0
Josh Brown,29.0,D,68,4,3,7,-18,87,0.6,4,0,0,0,3,0,0,68,5.9,1072,946,118,152,0,0,0.0
Logan Brown,24.0,C,30,2,4,6,-4,8,0.1,2,0,0,0,4,0,0,18,11.1,312,624,7,22,58,110,34.5
Patrick Brown,30.0,C,61,4,8,12,-2,44,0.4,3,0,1,0,8,0,0,60,6.7,694,683,42,167,178,161,52.5
Jacob Bryson,25.0,D,59,1,8,9,-24,8,-0.4,1,0,0,0,7,0,1,27,3.7,861,875,69,34,0,0,0.0
Pavel Buchnevich,27.0,LW,63,26,41,67,14,36,7.3,18,8,0,2,26,13,2,123,21.1,1226,1167,23,54,64,150,29.9
Michael Bunting,27.0,LW,82,23,26,49,21,103,5.5,16,7,0,4,23,3,0,174,13.2,1295,948,18,85,1,1,50.0
André Burakovsky,27.0,LW,49,13,26,39,-9,14,3.2,9,4,0,3,16,10,0,105,12.4,811,993,15,17,0,6,0.0
Brent Burns,37.0,D,82,18,43,61,19,44,11.4,14,4,0,2,24,19,0,255,7.1,1904,1393,86,40,1,0,100.0
Kyle Burroughs,27.0,D,48,2,3,5,-4,62,0.9,2,0,0,0,3,0,0,47,4.3,833,1042,84,165,0,1,0.0
Quinton Byfield,20.0,C,53,3,19,22,13,30,1.6,2,1,0,0,19,0,0,74,4.1,745,844,16,53,51,57,47.2
Bowen Byram,21.0,D,42,10,14,24,7,38,4.5,7,2,1,1,10,4,0,65,15.4,919,1313,54,82,0,0,0.0
Brandon Carlo,26.0,D,75,3,13,16,44,38,6.0,3,0,0,0,11,0,2,94,3.2,1412,1130,116,128,0,0,0.0
John Carlson,33.0,D,40,9,20,29,-7,12,4.2,5,3,1,0,11,9,0,124,7.3,936,1403,87,42,0,0,0.0
Ryan Carpenter,32.0,C,22,1,2,3,-5,10,-0.1,1,0,0,0,2,0,0,17,5.9,202,551,11,35,67,57,54.0
Sam Carrick,30.0,C,52,3,4,7,-17,86,-0.6,3,0,0,0,4,0,0,50,6.0,549,634,24,98,182,187,49.3
Alexandre Carrier,26.0,D,43,2,7,9,0,27,2.0,2,0,0,1,7,0,0,48,4.2,769,1073,67,57,0,0,0.0
William Carrier,28.0,LW,56,16,9,25,15,30,3.3,16,0,0,7,9,0,0,118,13.6,705,755,22,133,1,7,12.5
Jeff Carter,38.0,C,79,13,16,29,-16,30,1.7,9,4,0,2,10,5,1,139,9.4,1083,822,54,80,557,381,59.4
Noah Cates,23.0,LW,82,13,25,38,3,12,2.8,9,3,1,5,19,5,1,107,12.1,1457,1066,65,86,416,638,39.5
Cole Caufield,22.0,RW,46,26,10,36,-10,2,4.2,19,7,0,3,7,3,0,158,16.5,830,1083,12,18,0,0,0.0
Cody Ceci,29.0,D,80,1,14,15,11,24,2.7,1,0,0,0,14,0,0,88,1.1,1611,1208,110,139,0,0,0.0
Erik Černák,25.0,D,70,2,14,16,8,53,3.3,1,0,1,0,13,0,1,87,2.3,1347,1154,100,209,0,0,0.0
Thomas Chabot,26.0,D,68,11,30,41,-11,52,6.1,6,5,0,0,15,15,0,165,6.7,1698,1498,123,79,0,0,0.0
Jalen Chatfield,26.0,D,78,6,8,14,23,35,5.0,5,0,1,2,7,0,1,93,6.5,1102,847,63,78,0,0,0.0
Ben Chiarot,31.0,D,76,5,14,19,-31,51,2.0,5,0,0,0,14,0,0,110,4.5,1566,1237,163,147,0,0,0.0
Yegor Chinakhov,21.0,RW,30,4,9,13,-6,10,0.8,3,1,0,0,8,1,0,44,9.1,398,795,17,27,1,2,33.3
Jake Christiansen,23.0,D,24,0,4,4,-7,4,0.3,0,0,0,0,3,1,0,25,0.0,365,913,23,20,0,0,0.0
Jakob Chychrun,24.0,D,48,9,24,33,7,30,5.4,5,4,0,0,20,4,0,144,6.3,1090,1362,83,55,0,0,0.0
Filip Chytil,23.0,C,74,22,23,45,15,30,5.2,19,3,0,4,21,2,0,177,12.4,1087,881,38,36,251,380,39.8
Anthony Cirelli,25.0,C,58,11,18,29,13,33,2.7,8,1,2,1,17,1,0,111,9.9,961,994,46,34,427,404,51.4
Casey Cizikas,31.0,C,81,6,15,21,0,54,0.8,6,0,0,0,13,0,2,111,5.4,1177,872,58,188,501,438,53.4
Kale Clague,24.0,D,33,0,4,4,-3,24,0.4,0,0,0,0,4,0,0,24,0.0,498,906,24,24,0,0,0.0
Connor Clifton,27.0,D,78,5,18,23,20,60,5.1,4,0,1,0,18,0,0,93,5.4,1393,1071,120,208,0,0,0.0
Cal Clutterbuck,35.0,RW,49,6,6,12,9,30,1.2,6,0,0,1,6,0,0,44,13.6,599,733,33,194,1,4,20.0
Andrew Cogliano,35.0,LW,79,10,9,19,6,44,1.3,10,0,0,0,7,0,2,85,11.8,997,757,54,55,33,37,47.1
Ian Cole,33.0,D,78,3,14,17,13,61,4.0,3,0,0,0,14,0,0,109,2.8,1512,1163,123,117,0,0,0.0
Blake Coleman,31.0,C,82,18,20,38,9,54,3.7,16,0,2,2,20,0,0,188,9.6,1247,912,39,107,20,22,47.6
Ross Colton,26.0,C,81,16,16,32,-8,50,2.6,12,4,0,3,11,5,0,153,10.5,1000,741,28,188,106,83,56.1
J.T. Compher,27.0,LW,82,17,35,52,8,33,4.1,12,5,0,3,26,9,0,154,11.0,1684,1232,82,37,813,852,48.8
Max Comtois,24.0,LW,64,9,10,19,-20,76,0.5,9,0,0,0,8,2,0,89,10.1,884,829,27,81,23,21,52.3
Kyle Connor,26.0,LW,82,31,49,80,-11,20,7.5,23,8,0,8,28,21,0,273,11.4,1683,1232,24,43,2,5,28.6
Andrew Copp,28.0,C,82,9,33,42,2,25,2.7,7,1,1,2,29,4,0,120,7.5,1489,1089,45,32,647,652,49.8
Paul Cotter,23.0,C,55,13,5,18,-5,15,1.6,13,0,0,1,5,0,0,76,17.1,705,770,17,168,11,13,45.8
Nick Cousins,29.0,C,79,9,18,27,-1,38,1.8,9,0,0,2,18,0,0,102,8.8,871,662,36,87,71,73,49.3
Logan Couture,33.0,C,82,27,40,67,-30,19,5.5,21,5,1,4,25,15,0,198,13.6,1569,1148,70,128,640,709,47.4
Charlie Coyle,30.0,C,82,16,29,45,29,30,4.5,15,0,1,0,25,0,4,139,11.5,1393,1019,63,68,536,483,52.6
Dylan Cozens,21.0,C,81,31,37,68,-3,41,7.0,24,5,2,1,23,13,1,211,14.7,1336,990,30,55,567,607,48.3
Sidney Crosby,35.0,C,82,33,60,93,8,52,9.6,24,9,0,9,42,18,0,255,12.9,1652,1209,47,71,978,868,53.0
Lawson Crouse,25.0,LW,77,24,21,45,-3,35,4.1,18,6,0,3,19,2,0,151,15.9,1367,1065,58,194,33,49,40.2
Austin Czarnik,30.0,C,29,3,2,5,-4,8,0.1,3,0,0,0,1,1,0,27,11.1,324,670,13,16,69,91,43.1
Kirby Dach,22.0,C,58,14,24,38,-2,43,3.1,8,6,0,2,12,10,2,107,13.1,1073,1110,38,53,87,140,38.3
Evgenii Dadonov,33.0,RW,73,7,26,33,-8,18,1.8,7,0,0,0,18,8,0,110,6.4,1075,883,43,33,2,6,25.0
Rasmus Dahlin,22.0,D,78,15,58,73,12,92,10.2,9,6,0,2,32,26,0,204,7.4,2012,1548,132,105,0,0,0.0
Phillip Danault,29.0,C,82,18,36,54,-8,63,4.0,15,3,0,1,17,17,2,152,11.8,1503,1100,75,81,692,581,54.4
Laurent Dauphin,27.0,C,21,1,0,1,-4,10,-0.3,1,0,0,0,0,0,0,25,4.0,220,628,10,17,84,73,53.5
Calvin de Haan,31.0,D,53,2,10,12,7,20,2.8,2,0,0,0,10,0,0,51,3.9,717,812,49,84,0,0,0.0
Anthony DeAngelo,27.0,D,70,11,31,42,-27,73,4.9,7,4,0,1,16,15,0,174,6.3,1544,1324,79,52,0,0,0.0
Alex DeBrincat,25.0,RW,82,27,39,66,-31,45,5.6,16,11,0,6,20,19,0,263,10.3,1559,1140,38,109,10,9,52.6
Jake DeBrusk,26.0,LW,64,27,23,50,26,16,6.4,21,6,0,6,14,8,1,191,14.1,1074,1007,22,85,4,11,26.7
Ty Dellandrea,22.0,C,82,9,19,28,9,54,2.0,9,0,0,2,16,0,3,92,9.8,1164,852,39,125,102,99,50.7
Dylan DeMelo,29.0,D,75,6,21,27,10,50,5.8,5,0,1,1,19,0,2,93,6.5,1467,1174,102,120,0,0,0.0
Vincent Desharnais,26.0,D,36,0,5,5,15,31,1.7,0,0,0,0,4,0,1,17,0.0,488,813,48,45,0,0,0.0
Nicolas Deslauriers,31.0,LW,80,6,6,12,-11,136,0.1,5,0,1,0,6,0,0,70,8.6,808,606,26,306,3,8,27.3
Connor Dewar,23.0,C,81,6,12,18,-5,50,0.8,3,0,3,0,11,0,1,87,6.9,888,658,50,124,222,281,44.1
Phillip Di Giuseppe,29.0,LW,30,6,6,12,-1,14,0.9,6,0,0,0,4,1,1,71,8.5,437,874,10,52,1,3,25.0
Jason Dickinson,27.0,C,78,9,21,30,-29,28,1.1,8,1,0,1,17,0,4,114,7.9,1243,956,80,112,368,403,47.7
Brenden Dillon,32.0,D,82,2,21,23,2,76,4.7,2,0,0,0,20,0,1,83,2.4,1606,1175,108,198,0,0,0.0
Noah Dobson,23.0,D,78,13,36,49,4,20,8.0,8,5,0,2,22,14,0,206,6.3,1590,1223,104,60,0,0,0.0
Max Domi,27.0,LW,80,20,36,56,-15,82,4.9,12,8,0,4,25,11,0,179,11.2,1422,1066,24,22,510,440,53.7
Ryan Donato,26.0,C,71,14,13,27,16,46,3.0,14,0,0,0,11,2,0,122,11.5,799,675,12,69,62,85,42.2
Drew Doughty,33.0,D,81,9,43,52,12,34,8.5,5,4,0,2,20,23,0,145,6.2,2125,1574,104,115,0,0,0.0
Nic Dowd,32.0,C,65,13,12,25,6,26,2.6,13,0,0,3,11,0,1,62,21.0,868,801,61,136,433,419,50.8
Leon Draisaitl,27.0,C,80,52,76,128,7,24,14.2,19,32,1,11,45,30,1,247,21.1,1739,1304,40,66,807,663,54.9
Sheldon Dries,28.0,C,63,11,6,17,-9,29,1.0,6,4,1,0,5,1,0,94,11.7,726,692,40,84,235,236,49.9
Jonathan Drouin,27.0,LW,58,2,27,29,-18,18,0.9,2,0,0,0,18,9,0,69,2.9,865,894,23,29,169,211,44.5
Jack Drury,22.0,C,38,2,6,8,3,14,0.5,2,0,0,1,5,1,0,69,2.9,410,647,16,12,67,59,53.2
Dillon Dubé,24.0,C,82,18,27,45,-6,47,3.8,15,1,2,3,24,3,0,151,11.9,1243,910,21,136,45,55,45.0
Pierre-Luc Dubois,24.0,LW,73,27,36,63,5,77,6.6,16,11,0,1,24,12,0,205,13.2,1347,1107,47,71,483,505,48.9
Matt Duchene,32.0,C,71,22,34,56,4,32,5.7,17,5,0,3,26,8,0,168,13.1,1301,1099,32,27,137,122,52.9
Walker Duehr,25.0,F,27,7,4,11,0,4,1.3,7,0,0,2,4,0,0,47,14.9,275,612,4,55,1,6,14.3
Brandon Duhaime,25.0,RW,51,9,1,10,6,42,1.2,8,0,1,3,1,0,0,80,11.3,549,645,18,146,4,10,28.6
Mathew Dumba,28.0,D,79,4,10,14,-8,81,3.3,4,0,0,2,10,0,0,99,4.0,1681,1277,116,104,0,0,0.0
Brian Dumoulin,31.0,D,82,1,24,25,-4,16,3.7,1,0,0,0,22,0,2,82,1.2,1693,1238,142,123,0,0,0.0
Vince Dunn,26.0,D,81,14,50,64,28,55,10.4,14,0,0,2,35,15,0,149,9.4,1917,1420,80,115,0,0,0.0
Sean Durzi,24.0,D,72,9,29,38,-12,50,4.8,8,1,0,1,14,15,0,110,8.2,1425,1187,142,68,0,0,0.0
Christian Dvorak,26.0,C,64,10,18,28,-12,6,1.4,9,0,1,1,15,3,0,88,11.4,1079,1012,66,13,477,440,52.0
Jordan Eberle,32.0,RW,82,20,43,63,6,34,5.7,17,3,0,4,31,12,0,177,11.3,1368,1001,25,44,34,43,44.2
Alexander Edler,36.0,D,64,2,9,11,-1,34,2.0,2,0,0,1,9,0,0,56,3.6,946,886,104,106,0,0,0.0
Joel Edmundson,29.0,D,61,2,11,13,-29,58,0.3,2,0,0,0,10,0,1,69,2.9,1194,1174,149,112,0,0,0.0
Nikolaj Ehlers,26.0,LW,45,12,26,38,-2,11,3.6,9,3,0,0,17,9,0,132,9.1,704,939,10,36,1,1,50.0
Jack Eichel,26.0,C,67,27,39,66,26,6,7.8,25,2,0,2,26,12,1,223,12.1,1257,1126,56,59,359,434,45.3
Aaron Ekblad,26.0,D,71,14,24,38,-14,68,4.6,5,8,1,2,13,11,0,216,6.5,1661,1404,80,77,0,0,0.0
Mattias Ekholm,32.0,D,78,9,23,32,28,28,7.7,9,0,0,0,18,4,1,135,6.7,1675,1288,104,91,0,0,0.0
Oliver Ekman-Larsson,31.0,D,54,2,20,22,-24,22,1.2,2,0,0,0,15,4,1,90,2.2,1090,1211,43,58,0,0,0.0
Lars Eller,33.0,C,84,10,13,23,3,46,1.4,9,0,1,1,13,0,0,140,7.1,1243,888,42,93,549,474,53.7
Andreas Englund,27.0,D,47,0,4,4,-1,35,0.9,0,0,0,0,4,0,0,31,0.0,569,727,33,133,0,0,0.0
