PLAYER,POS.,AGE,TYPE,FROM,TO,YRS,DOLLARS,AVERAGE
Ryan Graves,D,28.1,UFA,NJD,PIT,6,"$27,000,000 ","$4,500,000 "
J.T Compher,C,28.2,UFA,COL,DET,5,"$25,500,000 ","$5,100,000 "
Alexander Killorn,C,33.8,UFA,TBL,ANA,4,"$25,000,000 ","$6,250,000 "
Scott Mayfield,D,30.7,UFA,NYI,NYI,7,"$24,500,000 ","$3,500,000 "
Pierre Engvall,LW,27.1,UFA,NYI,NYI,7,"$21,000,000 ","$3,000,000 "
Joonas Korpisalo,G,29.2,UFA,LAK,OTT,5,"$20,000,000 ","$4,000,000 "
Ryan O'Reilly,C,32.3,UFA,TOR,NSH,4,"$18,000,000 ","$4,500,000 "
Dmitry Orlov,D,31.9,UFA,BOS,CAR,2,"$15,500,000 ","$7,750,000 "
Miles Wood,LW,27.8,UFA,NJD,COL,6,"$15,000,000 ","$2,500,000 "
Evan Rodrigues,LW,29.9,UFA,COL,FLA,4,"$12,000,000 ","$3,000,000 "
Radko Gudas,D,33,UFA,FLA,ANA,3,"$12,000,000 ","$4,000,000 "
Semyon Varlamov,G,35.2,UFA,NYI,NYI,4,"$11,000,000 ","$2,750,000 "
Justin Holl,D,31.4,UFA,TOR,DET,3,"$10,200,000 ","$3,400,000 "
Connor Clifton,D,28.2,UFA,BOS,BUF,3,"$10,000,000 ","$3,333,333 "
Carson Soucy,D,28.9,UFA,SEA,VAN,3,"$9,750,000 ","$3,250,000 "
Luke Schenn,D,33.6,UFA,TOR,NSH,3,"$8,250,000 ","$2,750,000 "
Niko Mikkola,D,2023.6,UFA,NYR,FLA,3,"$7,500,000 ","$2,500,000 "
Alexander Kerfoot,C,28.8,UFA,TOR,ARI,2,"$7,000,000 ","$3,500,000 "
Frederik Andersen,G,33.7,UFA,CAR,CAR,2,"$6,800,000 ","$3,400,000 "
Gustav Nyquist,RW,33.8,UFA,MIN,NSH,2,"$6,370,000 ","$3,185,000 "
Brian Dumoulin,D,31.8,UFA,PIT,SEA,2,"$6,300,000 ","$3,150,000 "
Conor Sheary,LW,31,UFA,WAS,TBL,3,"$6,000,000 ","$2,000,000 "
Noel Acciari,C,32.2,UFA,TOR,PIT,3,"$6,000,000 ","$2,000,000 "
Tyler Bertuzzi,LW,28.3,UFA,BOS,TOR,1,"$5,500,000 ","$5,500,000 "
Jason Zucker,LW,31.4,UFA,PIT,ANA,1,"$5,300,000 ","$5,300,000 "
Vladimir Tarasenko,RW,31.6,UFA,NYR,OTT,1,"$5,000,000 ","$5,000,000 "
Cody Glass,C,24.2,UFA,NSH,NSH,2,"$5,000,000 ","$2,500,000 "
Lars Eller,C,34.1,UFA,COL,PIT,2,"$4,900,000 ","$2,450,000 "
Jesper Fast,RW,31.5,UFA,CAR,CAR,2,"$4,800,000 ","$2,400,000 "
Garnet Hathaway,RW,31.6,UFA,BOS,PHI,2,"$4,750,000 ","$2,375,000 "
MacKenzie Blackwood,G,26.5,UFA,SJS,SJS,2,"$4,700,000 ","$2,350,000 "
Nick Bjugstad,C,30.9,UFA,EDM,ARI,2,"$4,200,000 ","$2,100,000 "
John Klingberg,D,30.8,UFA,MIN,TOR,1,"$4,150,000 ","$4,150,000 "
Shayne Gostisbehere,D,30.2,UFA,CAR,DET,1,"$4,125,000 ","$4,125,000 "
Ryan Reaves,RW,36.4,UFA,MIN,TOR,3,"$4,050,000 ","$1,350,000 "
Max Pacioretty,LW,34.6,UFA,CAR,WAS,1,"$4,000,000 ","$4,000,000 "
Connor Brown,RW,29.4,UFA,WAS,EDM,1,"$4,000,000 ","$4,000,000 "
Vladislav Namestnikov,C,30.6,UFA,WPG,WPG,2,"$4,000,000 ","$2,000,000 "
Morgan Geekie,C,24.9,UFA,SEA,BOS,2,"$4,000,000 ","$2,000,000 "
Ryan Donato,C,27.2,UFA,SEA,CHI,2,"$4,000,000 ","$2,000,000 "
Kyle Burroughs,D,27.9,UFA,VAN,SJS,3,"$3,300,000 ","$1,100,000 "
Erik Johnson,D,35.2,UFA,COL,BUF,1,"$3,250,000 ","$3,250,000 "
Max Domi,LW,28.3,UFA,DAL,TOR,1,"$3,000,000 ","$3,000,000 "
Matt Duchene,C,32.4,UFA,NSH,DAL,1,"$3,000,000 ","$3,000,000 "
Ian Cole,D,34.3,UFA,TBL,VAN,1,"$3,000,000 ","$3,000,000 "
Fabian Zetterlund,LW,23.8,UFA,SJS,SJS,2,"$2,900,000 ","$1,450,000 "
Nathan Bastian,RW,25.5,UFA,NJD,NJD,2,"$2,700,000 ","$1,350,000 "
Alex Carrier,D,32.3,UFA,NSH,NSH,1,"$2,500,000 ","$2,500,000 "
Oliver Ekman-Larsson,D,31.9,UFA,VAN,FLA,1,"$2,250,000 ","$2,250,000 "
Travis Hamonic,D,32.8,UFA,OTT,OTT,2,"$2,200,000 ","$1,100,000 "
Cameron Talbot,G,35.9,UFA,OTT,LAK,1,"$2,000,000 ","$2,000,000 "
Andreas Englund,D,27.4,UFA,CHI,LAK,2,"$2,000,000 ","$1,000,000 "
Daniel Sprong,RW,26.2,UFA,SEA,DET,1,"$2,000,000 ","$2,000,000 "
Theodor Blueger,C,28.8,UFA,VGK,VAN,1,"$1,900,000 ","$1,900,000 "
Matt Nieto,LW,30.6,UFA,COL,PIT,2,"$1,800,000 ","$900,000 "
Alex Lyon,G,30.5,UFA,FLA,DET,2,"$1,800,000 ","$900,000 "
Laurent Brossoit,G,30.2,UFA,VGK,WPG,1,"$1,750,000 ","$1,750,000 "
Anthony DeAngelo,D,27.8,UFA,PHI,CAR,1,"$1,675,000 ","$1,675,000 "
Luke Glendening,C,34.2,UFA,DAL,TBL,2,"$1,600,000 ","$800,000 "
Josh Archibald,RW,30.7,UFA,PIT,TBL,2,"$1,600,000 ","$800,000 "
Givani Smith,RW,25.3,UFA,FLA,SJS,2,"$1,600,000 ","$800,000 "
Patrick Brown,LW,31.1,UFA,OTT,BOS,2,"$1,600,000 ","$800,000 "
Julien Gauthier,RW,25.7,UFA,OTT,NYI,2,"$1,575,000 ","$787,500 "
Joel Hanley,D,32,UFA,DAL,DAL,2,"$1,575,000 ","$787,500 "
Nathan Todd,C,27.6,UFA,STL,SJS,2,"$1,550,000 ","$775,000 "
Dryden Hunt,LW,27.6,UFA,CGY,CGY,2,"$1,550,000 ","$775,000 "
William Lockwood,RW,25,UFA,NYR,FLA,2,"$1,550,000 ","$775,000 "
Dylan McIlrath,D,31.2,UFA,WAS,WAS,2,"$1,550,000 ","$775,000 "
Benjamin Gleason,D,25.2,UFA,DAL,EDM,2,"$1,550,000 ","$775,000 "
Justin Dowling,C,32.8,UFA,VAN,NJD,2,"$1,550,000 ","$775,000 "
Vinni Lettieri,C,28.3,UFA,BOS,MIN,2,"$1,550,000 ","$775,000 "
Brogan Rafferty,D,28.1,UFA,SEA,DET,2,"$1,550,000 ","$775,000 "
Rhett Gardner,C,27.3,UFA,DAL,PHI,2,"$1,550,000 ","$775,000 "
Anthony Angello,C,27.2,UFA,NSH,NSH,2,"$1,550,000 ","$775,000 "
Scott Sabourin,RW,30.9,UFA,OTT,SJS,2,"$1,550,000 ","$775,000 "
Jack Ahcan,D,26.1,UFA,BOS,COL,2,"$1,550,000 ","$775,000 "
Joona Koppanen,LW,25.3,UFA,BOS,PIT,2,"$1,550,000 ","$775,000 "
Mason Geertsen,D,28.2,UFA,NJD,VGK,2,"$1,550,000 ","$775,000 "
Hunter Shepard,G,27.6,UFA,WAS,WAS,2,"$1,550,000 ","$775,000 "
Lane Pederson,C,25.8,UFA,CBJ,EDM,2,"$1,550,000 ","$775,000 "
Alex Belzile,RW,31.8,UFA,MTL,NYR,2,"$1,550,000 ","$775,000 "
Drake Caggiula,C,29,UFA,PIT,EDM,2,"$1,550,000 ","$775,000 "
MacKenzie MacEachern,LW,29.2,UFA,CAR,STL,2,"$1,550,000 ","$775,000 "
Kailer Yamamoto,C,24.8,UFA,DET,SEA,1,"$1,500,000 ","$1,500,000 "
Milan Lucic,LW,35,UFA,CGY,BOS,1,"$1,500,000 ","$1,500,000 "
Alex Nedeljkovic,G,27.4,UFA,DET,PIT,1,"$1,500,000 ","$1,500,000 "
James Reimer,G,35.2,UFA,SJS,DET,1,"$1,500,000 ","$1,500,000 "
Antti Raanta,G,34.2,UFA,CAR,CAR,1,"$1,500,000 ","$1,500,000 "
Michael Mcleod,C,25.3,UFA,NJD,NJD,1,"$1,400,000 ","$1,400,000 "
Ryan Poehling,C,24.4,UFA,PIT,PHI,1,"$1,400,000 ","$1,400,000 "
Christian Fischer,C,26.2,UFA,ARI,DET,1,"$1,125,000 ","$1,125,000 "
Filip Zadina,RW,23.6,UFA,DET,SJS,1,"$1,100,000 ","$1,100,000 "
Marc Staal,D,36.4,UFA,FLA,PHI,1,"$1,100,000 ","$1,100,000 "
Troy Stecher,D,29.2,UFA,CGY,ARI,1,"$1,100,000 ","$1,100,000 "
Anthony Stolarz,G,29.4,UFA,ANA,FLA,1,"$1,100,000 ","$1,100,000 "
Kevin Shattenkirk,D,34.4,UFA,ANA,BOS,1,"$1,050,000 ","$1,050,000 "
Tomas Nosek,LW,30.8,UFA,BOS,NJD,1,"$1,000,000 ","$1,000,000 "
James Van Riemsdyk,LW,34.1,UFA,PHI,BOS,1,"$1,000,000 ","$1,000,000 "
Craig Smith,C,33.8,UFA,WAS,DAL,1,"$1,000,000 ","$1,000,000 "
Mike Reilly,D,29.9,UFA,BOS,FLA,1,"$1,000,000 ","$1,000,000 "
Dmitry Kulikov,D,32.7,UFA,PIT,FLA,1,"$1,000,000 ","$1,000,000 "
Kevin Stenlund,C,26.8,UFA,WPG,FLA,1,"$1,000,000 ","$1,000,000 "
Jordan Oesterle,D,31,UFA,DET,CGY,1,"$925,000 ","$925,000 "
David Rittich,G,30.8,UFA,WPG,LAK,1,"$875,000 ","$875,000 "
Denis Gurianov,RW,26.1,UFA,MTL,NSH,1,"$850,000 ","$850,000 "
Sam Steel,C,25.3,UFA,MIN,DAL,1,"$850,000 ","$850,000 "
Jonathan Drouin,LW,28.2,UFA,MTL,COL,1,"$825,000 ","$825,000 "
Andrew Cogliano,LW,36,UFA,COL,COL,1,"$825,000 ","$825,000 "
Erik Gustafsson,D,31.2,UFA,TOR,NYR,1,"$825,000 ","$825,000 "
Zach Sanford,LW,28.7,UFA,NSH,ARI,1,"$800,000 ","$800,000 "
Travis Dermott,D,26.5,UFA,VAN,ARI,1,"$800,000 ","$800,000 "
Brendan Lemieux,LW,27.2,UFA,PHI,CAR,1,"$800,000 ","$800,000 "
Andreas Johnsson,LW,28.6,UFA,SJS,PIT,1,"$800,000 ","$800,000 "
Blake Wheeler,RW,36.8,UFA,WPG,NYR,1,"$800,000 ","$800,000 "
Nick Bonino,C,35.2,UFA,PIT,NYR,1,"$800,000 ","$800,000 "
Steven Santini,D,28.2,UFA,STL,LAK,1,"$800,000 ","$800,000 "
Tyler Pitlick,RW,31.7,UFA,STL,NYR,1,"$787,500 ","$787,500 "
Magnus Hellberg,G,32.2,UFA,DET,PIT,1,"$785,000 ","$785,000 "
Casey Fitzgerald,D,26.3,UFA,FLA,FLA,1,"$775,000 ","$775,000 "
Justin Kirkland,LW,26.9,UFA,ANA,ARI,1,"$775,000 ","$775,000 "
Chris Tierney,C,29,UFA,MTL,NJD,1,"$775,000 ","$775,000 "
Oskar Sundqvist,C,29.2,UFA,MIN,STL,1,"$775,000 ","$775,000 "
Jesper Boqvist,C,24.7,UFA,NJD,BOS,1,"$775,000 ","$775,000 "
Vincent Hinostroza,C,29.2,UFA,BUF,PIT,1,"$775,000 ","$775,000 "
Pierre-Edouard Bellemare,LW,38.3,UFA,TBL,SEA,1,"$775,000 ","$775,000 "
Rasmus Asplund,C,25.6,UFA,NSH,FLA,1,"$775,000 ","$775,000 "
Karson Kuhlman,RW,27.8,UFA,WPG,NYI,1,"$775,000 ","$775,000 "
Chase Priskie,D,27.2,UFA,ANA,WAS,1,"$775,000 ","$775,000 "
Victor Mete,D,25,UFA,TOR,PHI,1,"$775,000 ","$775,000 "
Brian Pinho,C,28.1,UFA,NJD,NYI,1,"$775,000 ","$775,000 "
Robert Hagg,D,28.3,UFA,DET,ANA,1,"$775,000 ","$775,000 "
Mitchell Stephens,C,26.3,UFA,MTL,MTL,1,"$775,000 ","$775,000 "
Dylan Gambrell,C,26.8,UFA,OTT,TOR,1,"$775,000 ","$775,000 "
Jasper Weatherby,C,25.4,UFA,DET,NSH,1,"$775,000 ","$775,000 "
Brady Lyle,D,24,UFA,STL,CGY,1,"$775,000 ","$775,000 "
Alex Limoges,LW,25.8,UFA,WPG,WAS,1,"$775,000 ","$775,000 "
Connor Carrick,D,29.2,UFA,BOS,SEA,1,"$775,000 ","$775,000 "
Will Butcher,D,28.4,UFA,DAL,PIT,1,"$775,000 ","$775,000 "
Justus Annunen,G,23.2,UFA,COL,COL,1,"$775,000 ","$775,000 "
Jack Johnson,D,36.4,UFA,COL,COL,1,"$775,000 ","$775,000 "
Calvin de Haan,D,32.1,UFA,CAR,TBL,1,"$775,000 ","$775,000 "
Jiri Patera,G,24.3,UFA,VGK,VGK,1,"$775,000 ","$775,000 "
Mac Hollowell,D,24.8,UFA,TOR,NYR,1,"$775,000 ","$775,000 "
Radim Zohorna,LW,27.2,UFA,TOR,PIT,1,"$775,000 ","$775,000 "
Martin Pospisil,C,23.6,UFA,CGY,CGY,1,"$775,000 ","$775,000 "
Colton Poolman,D,27.5,UFA,CGY,CGY,1,"$775,000 ","$775,000 "
Joe Hicketts,D,27.1,UFA,MIN,LAK,1,"$775,000 ","$775,000 "
Matthew Phillips,C,25.2,UFA,CGY,WAS,1,"$775,000 ","$775,000 "
Gerald Mayhew,C,30.5,UFA,FLA,FLA,1,"$775,000 ","$775,000 "
Gavin Bayreuther,D,29.1,UFA,CBJ,DAL,1,"$775,000 ","$775,000 "
Lias Andersson,C,24.7,UFA,LAK,MTL,1,"$775,000 ","$775,000 "
John Leonard,C,24.8,UFA,NSH,ARI,1,"$775,000 ","$775,000 "
Chris Wagner,C,32.1,UFA,BOS,COL,1,"$775,000 ","$775,000 "
Connor Mackey,D,26.8,UFA,ARI,NYR,1,"$775,000 ","$775,000 "
Arvid Holm,G,24.6,UFA,WPG,COL,1,"$775,000 ","$775,000 "
Malcolm Subban,G,29.5,UFA,BUF,STL,1,"$775,000 ","$775,000 "
Mikhail Maltsev,LW,25.2,UFA,COL,LAK,1,"$775,000 ","$775,000 "
Trevor Lewis,C,36.4,UFA,CGY,LAK,1,"$775,000 ","$775,000 "
Devin Cooley,G,26.1,UFA,NSH,BUF,1,"$775,000 ","$775,000 "
Dustin Tokarski,G,33.8,UFA,PIT,BUF,1,"$775,000 ","$775,000 "
Brady Keeper,D,27,UFA,VAN,MTL,1,"$775,000 ","$775,000 "
Kyle Criscuolo,F,31.1,UFA,SJS,NJD,1,"$775,000 ","$775,000 "
Logan Brown,C,25.2,UFA,STL,TBL,1,"$775,000 ","$775,000 "
Erik KÃ¤llgren,G,26.7,UFA,TOR,NJD,1,"$775,000 ","$775,000 "
Jacob Lucchini,C,28.1,UFA,OTT,MIN,1,"$775,000 ","$775,000 "
Troy Grosenick,G,33.8,UFA,PHI,NSH,1,"$775,000 ","$775,000 "
Alex Galchenyuk,C,29.3,UFA,NSH,ARI,1,"$775,000 ","$775,000 "
Matt Villalta,G,24,UFA,LAK,ARI,1,"$775,000 ","$775,000 "
William Lagesson,D,27.3,UFA,CAR,TOR,1,"$775,000 ","$775,000 "
Timothy Gettinger,LW,25.2,UFA,NYR,DET,1,"$775,000 ","$775,000 "
Trevor Carrick,D,28.9,UFA,TBL,ANA,1,"$775,000 ","$775,000 "
Maxime Lajoie,D,25.6,UFA,CAR,TOR,1,"$775,000 ","$775,000 "
Mitchell Chaffee,RW,25.4,UFA,MIN,TBL,1,"$775,000 ","$775,000 "
Alex True,C,25.9,UFA,SEA,FLA,1,"$775,000 ","$775,000 "
Riley Tufte,LW,25.2,UFA,DAL,COL,1,"$775,000 ","$775,000 "
Corey Schueneman,D,27.5,UFA,MTL,COL,1,"$775,000 ","$775,000 "
Ryan Shea,D,26.3,UFA,DAL,PIT,1,"$775,000 ","$775,000 "
Rourke Chartier,C,27.2,UFA,OTT,OTT,1,"$775,000 ","$775,000 "
Collin Delia,G,29,UFA,VAN,WPG,1,"$775,000 ","$775,000 "
Bokondji Imama,LW,26.8,UFA,ARI,OTT,1,"$775,000 ","$775,000 "
Matthew Highmore,C,27.3,UFA,STL,OTT,1,"$775,000 ","$775,000 "
Garrett Pilon,C,25.2,UFA,WAS,OTT,1,"$775,000 ","$775,000 "
Matt Irwin,D,35.6,UFA,WAS,VAN,1,"$775,000 ","$775,000 "
Justin Richards,C,25.2,UFA,CBJ,BUF,1,"$775,000 ","$775,000 "
Ryan Carpenter,C,32.4,UFA,NYR,SJS,1,"$775,000 ","$775,000 "
Marian Studenic,RW,24.7,UFA,DAL,SEA,1,"$775,000 ","$775,000 "
John Hayden,C,28.3,UFA,SEA,SEA,1,"$775,000 ","$775,000 "
Josh Jacobs,D,27.3,UFA,COL,STL,1,"$775,000 ","$775,000 "
Wyatt Kalynuk,D,26.2,UFA,NYR,STL,1,"$775,000 ","$775,000 "
Zach Sawchenko,G,25.5,UFA,CAR,VAN,1,"$775,000 ","$775,000 "
Anthony Richard,C,26.5,UFA,MTL,BOS,1,"$775,000 ","$775,000 "
Parker Wotherspoon,D,25.9,UFA,NYI,BOS,1,"$775,000 ","$775,000 "
Jeffrey Truchon-Viel,LW,26.4,UFA,SJS,WPG,1,"$775,000 ","$775,000 "
